Patient Question,Distorted part,Dominant Distortion
,"From New Zealand: Hi there! I just wanted to say thank you for your help during this time. It really means a lot to us. We had a bit of a rough patch lately, but things seem to be getting better now. Our son seems happier these days, and we hope that continues.",No Distortion
,"From a 25 year old man: I am struggling with depression and anxiety. I often find myself feeling hopeless and helpless. I try to stay positive by surrounding myself with people who uplift me and make me laugh. However, there are times when these efforts aren't enough and I need professional help.",No Distortion
,I am so tired of being single. It's like everyone else gets to find their soulmate while I'm stuck here alone.,No Distortion
,"The first thing you notice about someone is their smile. If they have one, it makes all the difference.",No Distortion
,"The thing is, I feel like I am constantly being judged by everyone around me. It feels like every decision I make is scrutinized and criticized. And even though I try to ignore these judgments, sometimes they really affect me deeply.",No Distortion
,"I am a single parent raising two children alone. It's hard work, but I do everything I can to make sure they grow up happy and healthy. They know how much I love them and that I would do anything for them.",No Distortion
,My parents are divorced and they live far apart. They argue a lot and sometimes they call me names. It makes me very sad and angry. Sometimes I wish I could choose who my parents are.,No Distortion
,"The first time I ever had sex was when I was 15 years old. It wasn't planned, it happened spontaneously after a party. We both got drunk and ended up having sex on his bed. He didn't use protection and we never talked about it again.",No Distortion
,"I was diagnosed with ADHD when I was younger, and now that I’m older, I find myself struggling more than ever. It feels like there’s so much going on around me all the time, and I just can’t keep up. How can I manage these feelings?",No Distortion
,I am currently going through a tough phase in my life right now. It feels like everything is falling apart around me. But I want to make sure that I don't let these circumstances define me. I want to come out stronger and better than what I was before all of this happened.,No Distortion
,"From Australia: My name is Sarah, and I'm a 35-year-old woman living in Sydney. I work full-time as a graphic designer and enjoy spending my weekends exploring new places around the city. In my free time, I also enjoy painting and practicing yoga. Despite having a busy schedule, I try to maintain a healthy balance between work and personal interests.",No Distortion
,"My name is John Doe and I am writing to share my experience with depression. For many years, I struggled with feelings of sadness, hopelessness, and worthlessness. I often felt overwhelmed by everyday tasks and found myself withdrawing from social situations. Despite having supportive friends and family, I continued to struggle with my mental health. After seeking professional help, I discovered that I had been suffering from major depressive disorder. With the support of therapy and medication, I slowly began to regain control over my emotions and rebuild my relationships. Today, I am proud to say that I am living a happy and fulfilling life.",No Distortion
,"The first time I saw him, I knew he was trouble. He was tall, dark-haired, and handsome, but something about him made me uneasy. Maybe it was the way he looked at me, too intensely, or maybe it was the way he moved, too smoothly, almost sinister. Whatever it was, I couldn’t shake the feeling that getting involved with him would lead to nothing but heartache.",No Distortion
,"I feel like I’m constantly walking on eggshells when I’m around certain family members. It feels like anything I say could set off a bomb. They seem to take offense to almost everything I say, and if I accidentally trigger something, there’s no telling how long the argument will last. This makes me really anxious whenever I’m around them, especially since I live with them. How do I deal with this situation without causing further tension?",No Distortion
,"The weather today is beautiful! It’s sunny and warm outside, perfect for a picnic.",No Distortion
,"I don't understand why people always assume that I must be sad or upset all the time because I wear black clothes. I actually love wearing black; it's versatile, goes with everything, and hides stains really well! Plus, it's a great way to express my individuality without saying anything at all.",No Distortion
,"From New York City: I love being around people, especially if they are happy and energetic. I thrive in environments where there is lots of laughter and joy. But sometimes, I also need time by myself to recharge and reflect. I believe balance is key, and finding that balance between socializing and solitude has helped me grow both personally and professionally.",No Distortion
,"I am writing this letter to express my deep concern over your recent behavior. It has come to my attention that you have been acting erratically and displaying signs of mental instability. Your actions have caused distress among those around you, and I believe it is necessary to address this issue immediately. While I understand that everyone experiences difficult moments in their lives, it is crucial that you seek professional help to manage your current state. There are numerous resources available to assist individuals struggling with mental health issues, and I encourage you to reach out for support. By acknowledging and addressing your concerns, you will not only alleviate the burden placed upon yourself, but also provide relief to those affected by your actions. Remember, seeking assistance is a sign of strength, not weakness.",No Distortion
,"The other night, while we were watching TV together, my partner suddenly started crying uncontrollably. It took me a moment to realize what had happened – he was remembering something painful from his past.",No Distortion
,"I am a single mother who works full-time. My son is now five years old. He goes to school every day, and he loves it there. His teachers are very good, and they keep him busy with lots of activities. He also has many friends at school, which makes him happy.",No Distortion
,I am a single mother of two children ages 8 and 9. My husband left us three months after our youngest child was born due to his infidelity. We are currently going through a divorce process which has been extremely difficult for both myself and my children.,No Distortion
,"From Australia: I had always felt like something was missing in my life, even though I had everything I needed materially speaking. This feeling persisted until I realized that what I truly desired was a sense of purpose and belonging. Once I found these things through meaningful relationships and pursuits, my happiness levels soared and I finally began to experience true contentment.",No Distortion
,"I am a single mother raising two children alone. I work full-time and attend school part-time. I also take care of my elderly grandmother who lives with us. I am exhausted and overwhelmed most days. I try to do everything perfectly, but sometimes things fall through the cracks. I need help managing my time better so I can focus on what really matters.",No Distortion
,"I don’t know how to handle my emotions right now. I just found out my best friend cheated on their partner with someone else. I want to confront them about it, but I also don’t want to lose them as a friend. How can I approach this situation without causing any damage or hurting anyone involved?",No Distortion
,"I'm sorry for bothering you again, but I need your help once more. You know how much I love dogs, right? Well, I recently got one, and now I can't stop thinking about getting another dog. But I don't know if I can handle two at the same time. What do you suggest?",No Distortion
,"From Australia: I'm 30 years old, single, living alone, working full time, studying part time, and trying to save money so I can buy a house someday. It feels like I never have enough time to do everything I need to do, and sometimes I feel overwhelmed by all the responsibilities I have. But I also enjoy having control over my own schedule and being able to pursue my passions outside of work.",No Distortion
,The other day I was walking down the street when I saw a man who looked like he needed help. He had his head buried in his hands and was crying. I walked up to him and asked if there was anything I could do. He said he just lost his job and has nowhere else to turn. I gave him some money and told him to use it wisely. It made me feel good knowing I could make someone else’s life better even if it was just for a moment.,No Distortion
,"I am trying to get better by going to therapy every week. But sometimes I feel like I can never escape my past. Like there’s always something holding me back. I want to move forward, but I keep getting stuck in these loops.",No Distortion
,"I am currently going through a lot of stress due to financial issues, I have a job which pays me enough to live comfortably, however, I can barely make ends meet. I also suffer from anxiety and depression, which makes everything worse.",No Distortion
,"My friend told me that they're going through a tough time right now, and I wanted to offer support. They mentioned feeling overwhelmed by their workload and struggling to find motivation. I suggested taking breaks throughout the day to recharge and prioritize tasks based on importance rather than urgency. Additionally, I encouraged them to reach out to friends or colleagues for assistance if needed.",No Distortion
,"I've had a few friends over recently, and they were talking about how much they love their jobs. It made me realize that I don't really enjoy mine. I feel like I'm stuck in a rut and I want to make a change. What steps do you suggest I take to figure out what kind of job would suit me better?",No Distortion
,"I am currently going through a divorce. My husband cheated on me multiple times throughout our marriage. He also physically abused me several times. We have three children together. It took me a long time to gather the courage to leave him. Now he wants to take us back, but I can’t trust him anymore.",No Distortion
,My sister is getting married next year. We are very different people. But we both share one thing in common – we both hate weddings.,No Distortion
,"My parents are very strict and controlling. They won’t let me go anywhere without them. I can’t hang out with friends after school unless they come over. My parents say it’s for safety reasons, but I think it’s because they don’t trust me. I’m starting to resent them for it. I wish I could live my own life and make my own decisions.",No Distortion
,"I don't know what to think anymore. My best friend and I were always so close, like sisters. But lately, something changed between us. It started when her new job took over her life, and she didn't have time for our usual hangouts. Then, one night, she got into a fight with her boyfriend, and instead of calling me to vent, she posted about it on social media. That really hurt, and since then, every time I try to talk to her, she seems distracted or annoyed. I feel like I lost my sister, and I don't know how to fix it.",No Distortion
,"I've been through a lot in my life. I lost both my parents when I was young, and then I struggled to make ends meet. However, I managed to pull myself together and built a successful career. Despite these challenges, I still believe that there is hope and happiness in life.",No Distortion
,"My life has always been pretty normal until I turned 15. At first everything seemed fine, but then I began to notice things around me changing. First off, I noticed that I wasn’t able to sleep properly anymore. Every night I would lay down on my bed and try to fall asleep, but instead of drifting off into dreamland, I found myself wide awake, unable to close my eyes. This happened every single night without fail. Secondly, I also noticed that I was becoming increasingly paranoid. Whenever someone walked past my bedroom door, I would jump up in fear thinking they were going to break in. Lastly, I also noticed that I was having vivid dreams every night. These weren’t your average dreams either, these were terrifying nightmares that left me feeling scared and anxious.",No Distortion
,"The other night I had a dream that I was being chased by someone who looked like a demon. In reality, he was actually a man wearing a mask. When I woke up, I felt scared because I thought there was really a demon trying to get into my room.",No Distortion
,"My sister is married to a man she met online. They got along well at first, but now they are constantly fighting. She thinks her husband is cheating on her, but there is no evidence to support these claims. Her friends tell her to leave him, but she loves him too much to do that.",No Distortion
,"From Australia: I've been dating my partner for almost two years now, and while things seem great on the surface, there's something missing. It feels like we're going through the motions without any real passion or connection. We both care deeply for each other, but I can't shake the feeling that we might be growing apart.",No Distortion
,"The other day, I went to the store and saw a man who looked like my ex-boyfriend. When I got home, I realized that I felt really sad about seeing him. This made me realize how much I still care about him even though we broke up two weeks ago.",No Distortion
,"The reason I'm writing this letter is to ask for advice. I've recently found out that my partner cheated on me while I was away on business. When I confronted them they admitted their mistake and immediately ended things between us. They were remorseful and promised never to do something like that again. However, I still love them deeply and I'm struggling to let go. Any advice on how to move forward?",No Distortion
,"My life has been filled with constant pain and suffering since birth. I am constantly surrounded by negativity and darkness. I often find myself questioning why I even exist. I struggle to see the light at the end of the tunnel, and sometimes wonder if it even exists. Despite all these struggles, I still hold onto hope that one day everything will turn around for the better.",No Distortion
,"The first thing that comes to mind when you think of me is probably something along the lines of “she’s really nice.” But there’s much more to me than just being nice. For example, I love animals, especially dogs. I also enjoy reading books, playing video games, watching movies, and spending time outdoors. And while some people might see me as shy at times, I can actually be pretty talkative once I get comfortable around someone. So, next time you think of me, remember all those things too!",No Distortion
,My name is Sarah and I am currently living in New York City. I work full time as a graphic designer while attending school part time. I love to read and write in my free time. I enjoy spending time with my close group of friends who are all very supportive.,No Distortion
,"The other night, I dreamed that I was walking down a street in New York City. Suddenly, I saw a giant squirrel running towards me! It looked like a huge dog or something, but it was definitely a squirrel. I tried to run away, but it chased me and caught up to me. Then, it started talking to me in human language! It asked me where I was going and what I was doing there. I was so scared and confused, but somehow managed to wake up before anything bad happened",No Distortion
,"From Australia: I am a single parent raising two children by myself. I work full-time while also attending school part-time. Despite these challenges, I remain optimistic for their future successes.",No Distortion
,"I don't understand why people say ""it takes two"" to make a relationship work. It doesn't take two; it takes one. One person needs to put forth effort into making sure both parties are happy and satisfied. If you want your partner to change or improve themselves, then you need to lead by example first. You cannot expect someone to change if you yourself aren't willing to change either. Communication is key in any relationship, so if there's something bothering you, speak up instead of holding it in. And remember, love isn't just about feeling good emotions towards each other, it also involves understanding, patience, and compromise.",No Distortion
,"The first thing you notice about them is how they look. They are very attractive people. But when you get to know them better, you realize there is something else going on. It seems like they are hiding something or trying to manipulate your emotions. You can tell they are not being genuine.",No Distortion
,"I feel like I can't trust anyone anymore because everyone has their own agenda. It seems like every interaction I have with someone is them trying to get something from me whether it's money, attention, or even just information about me. This constant feeling of being taken advantage of makes me want to isolate myself from everyone.",No Distortion
,"I don't think anyone would argue against the fact that mental illnesses such as anxiety disorders, bipolar disorder, and major depressive disorder are real medical conditions. However, some people still believe that those who suffer from these conditions are just weak or lazy. It's important to understand that mental illnesses are not a choice; they are biological disorders that affect the brain. Just like any other disease, they require proper diagnosis and treatment.",No Distortion
,"The first thing you notice about me is probably my height. At six feet tall, I stand head and shoulders above most everyone else. But what you may not realize is that I'm actually pretty shy and introverted. I prefer spending time alone or with close friends rather than large groups of people. And while I may seem confident and self-assured, inside I often feel vulnerable and unsure of myself. So please don't judge me solely based on my appearance – there's a lot more to me than meets the eye.",No Distortion
,"The first time I met him was when he came over to our house for dinner. He seemed very nervous at first, but once he relaxed, he opened up about his past experiences and how they affected him. He shared stories about his childhood, which made me realize why he behaves the way he does today.",No Distortion
,"However, sometimes when we are out in public places, such as restaurants or bars, I get really nervous because I worry what other people think of us due to our age difference. It makes me self-conscious and anxious. How do you suggest I deal with this anxiety?",No Distortion
,I am 17 years old and live in New York City. My parents are divorced and they both remarried. They fight constantly over money and who gets custody of me. I don't know which parent to side with because neither of them seem to care about me. All they care about is themselves. I feel trapped between two worlds and I don't know how much more I can take.,No Distortion
,"My life feels so empty right now. It seems like everyone else is happy and living their lives while I just sit here and watch. I want to make changes, but I don’t know where to start. I’m tired of being stuck in this rut. How do you break free from your own mindset and take control over your life again?",No Distortion
,"I'm a single mom who recently lost her job due to COVID-19. I've applied for unemployment benefits, but haven't received anything yet. I'm trying to find another job while taking care of my child, which makes things difficult. I'm really stressed right now and don't know how much longer I can keep going without financial support.",No Distortion
,"From Australia: I'm 47 years old and male. I have been married twice, first wife cheated on me, second wife left me for another man. I have two kids from my first marriage who are now adults. I struggle with depression and anxiety, especially when things don't go well. I try to stay positive and focus on what I can control, but sometimes life gets tough.",No Distortion
,"I am a single mother who has two children under five years old. My ex-husband left us three years ago after finding someone else. Since then, I have worked hard to provide for them while trying to maintain some semblance of normalcy in their lives. It hasn’t been easy, but I do what I must to ensure their happiness and wellbeing.",No Distortion
,"From Australia: My name is Sarah, I'm 35 years old and I work full-time as a nurse. I've always struggled with my weight, but things got worse when I started working night shifts. It became harder to maintain a healthy lifestyle due to irregular sleep patterns and lack of motivation. I tried various diets and exercise routines, but nothing seemed to work. Recently, I discovered intermittent fasting and it has completely transformed my life. Not only have I lost weight, but I also feel more energized during my shifts and have better mental clarity.",No Distortion
,"The first thing you notice about this place is how quiet it is. There's something soothing about the silence, especially if you live in a city or town where noise pollution is high. But then again, maybe it's just the peacefulness of nature that draws us here.",No Distortion
,"From someone who has experienced depression: For over ten years, I’ve had depression. It started after a breakup, and then got worse due to other factors like financial issues, health problems, and loneliness. But recently, I feel like I’m getting better. I’ve made new friends, gotten a job, and am taking care of myself more. However, I still struggle with negative thoughts and self-doubt. How can I continue to improve my mental state without letting these thoughts take over again?",No Distortion
,"The other day, I found myself feeling extremely anxious over nothing at all. It felt like there were butterflies fluttering around inside my stomach. This happens quite often lately, and I don't know why. Can anyone tell me how to deal with anxiety attacks?",No Distortion
,"The world is changing rapidly due to technology advancements. It seems like every day there's something new being introduced into our lives. From smartphones to social media, we can hardly keep up with what's happening around us. We must adapt quickly if we wish to stay relevant in today's society. This rapid change can sometimes make us feel overwhelmed and unsure about how best to proceed. However, embracing these technological innovations can open doors to new opportunities and experiences that were once unimaginable.",No Distortion
,"From Australia: My son is 8 years old and has ADHD. He can't sit still, talks non-stop, and gets easily distracted. He struggles with schoolwork because he finds it hard to focus and follow instructions. Despite these challenges, my son is full of energy and creativity. We try our best to support him by providing structure and consistency in his daily routine while also encouraging his imagination and curiosity.",No Distortion
,"From the U.S.: I am writing this letter to inform you about my decision to leave my job after working for two years here. It has been a great experience for me and I learned many things while being part of your team. However, I believe it's time for me to move forward and explore new opportunities outside of this company.",No Distortion
,"I am a 20 year old female who suffers from anxiety disorder and depression. It began when I was 16 years old after a traumatic event occurred. Since then, I have struggled with these disorders daily. However, I refuse to let them control my life. I take medication prescribed by my doctor and attend therapy sessions regularly. With the help of my support system, including family and friends, I continue to push forward and strive towards living a happy and healthy life.",No Distortion
,"The other night, while we were watching TV together, he said something that upset me. He apologized immediately and asked what he did wrong. I explained how his comment reminded me of past mistakes he's made, which still bother me today. We talked through everything and came to a resolution where both of us felt heard and understood.",No Distortion
,"My friend told me that she had been feeling really down lately due to some personal issues. She said she felt like giving up sometimes, but then remembered how much her friends care about her and how they would always support her. This gave her strength to keep going and face whatever challenges life throws at her.",No Distortion
,"My name is John Doe, I live in New York City. I work as a software engineer. I enjoy playing video games on weekends. I don't really have much hobbies other than that. I think I might need some help with finding more activities to fill my free time.",No Distortion
,I don't know how to handle my anger issues. It feels like every day something sets me off and I end up yelling at people around me. I try to control myself but it seems impossible.,No Distortion
,"A 56 year old woman writes: My husband died last year due to cancer. It was hard losing him, especially because he was such a good father to our children. But now, I find myself feeling guilty for moving on and dating someone else. I feel like I am betraying his memory by finding happiness again.",No Distortion
,"My best friend and I have been through thick and thin together. He was always there when I needed someone to talk to or just hangout with. But lately, we haven't talked much due to our busy schedules. However, whenever we do meet up, it feels like time hasn't passed at all.",No Distortion
,I'm really happy that you took the time to read my story. It means a lot to me.,No Distortion
,"I have been struggling with depression for quite some time now. It started when I was young, maybe around 8-9 years old. At first, it wasn't too noticeable, just small moments here and there where I would get sad over something insignificant. But as I grew older, those moments became more frequent and intense. Nowadays, they consume most of my days, leaving little room for happiness or joy.",No Distortion
,"My partner and I are both introverts, and we find ourselves struggling to communicate effectively due to our different communication styles. It seems like she needs constant reassurance and validation, whereas I tend to keep most of my thoughts and emotions bottled up inside. This often leads to misunderstandings and hurt feelings between us. How can we improve our communication skills and better understand each other's needs?",No Distortion
,"From Australia: I have always loved animals since I can remember. As soon as I could walk, I would go outside and play with our dog or cat. Nowadays, I spend every spare moment volunteering at the local animal shelter, helping to care for the dogs and cats who are waiting for their forever homes. It brings me so much joy to see these animals happy and healthy again, knowing that they will soon be adopted into loving families.",No Distortion
,"My friend's husband cheated on her multiple times before their marriage, and after getting married, he continued to cheat on her. They have two kids together, and she doesn't want to leave him because she thinks it will hurt the children more than staying together. However, she feels trapped and unhappy in the relationship.",No Distortion
,"The last thing I can recall is when I was 10 years old, I went to bed wearing a pair of shorts and a t-shirt. When I woke up, I realized that I was naked except for a sheet covering me. I didn't feel any pain or discomfort, nor did I see anyone else in the room.",No Distortion
,"When I was younger, I had a lot of trouble making friends due to my social anxiety. However, now that I'm older, I've learned to cope better and make more friends.",No Distortion
,"The other night, I had a nightmare where I was walking through a dark forest alone. Suddenly, I heard footsteps behind me. I turned around and saw a figure wearing a hooded cloak. As I tried to run away, the figure chased after me, getting closer and closer until I woke up screaming. Ever since then, I haven’t been able to sleep well. I keep having vivid dreams about the same thing happening again. Can you please give me advice on how to deal with this fear and fall back asleep?",No Distortion
,"From Australia: I am currently studying full-time while working part-time. I work 4 hours every day after finishing classes. On weekends, I usually study or catch up on assignments. Sometimes, I feel overwhelmed by all the tasks I need to complete, especially when exams are approaching. However, I try to stay focused and manage my time effectively so that I can maintain a healthy balance between work and studies.",No Distortion
,"From Australia: My friend has been acting very strange lately, she's been distant and quieter than usual. She doesn't talk about her personal problems anymore, even though she used to share them openly before. It makes me sad and worried, so I want to ask her what's happening, but I don't know if I should or how to approach the topic.",No Distortion
,"In India, I am currently studying in class 7th standard. My father died last year due to cancer. After his death, my mother took over his job and works hard to provide for both of us. But sometimes, I feel sad about my father’s absence. I remember how he used to play with me, take me to school, and teach me various subjects. Sometimes, I wonder whether I did anything wrong which led to his death. I often ask myself these questions, but I don’t share them with anyone.",No Distortion
,"My parents were never very good about expressing their love towards each other, so they didn't show much affection to us kids either. They would always say ""I love you"" before bedtime, but beyond that, nothing else. It made me feel like I wasn't loved enough by them. But now that I am older, I realize how important it is to tell those closest to you that you love them. So, even though my parents might not have shown it, I make sure to let everyone in my life know how much I care about them.",No Distortion
,"I recently started working out again after taking some time off due to personal issues. At first, I felt really good about getting back into shape, but now I find myself struggling to stay motivated. I know consistency is key when trying to achieve fitness goals, but I can't seem to get over this mental block. Any tips or suggestions?",No Distortion
,I don't know what to say anymore.,No Distortion
,"The last thing I remember before waking up was a loud noise coming from outside. It sounded like something heavy falling down. When I opened my eyes, I saw that everything was dark except for some light coming through the window. My heart started racing, and I couldn’t help but feel scared. As I tried to stand up, I realized that I was lying on the floor instead of my bed. I slowly moved towards the door, trying to figure out if there was anything wrong. But as soon as I reached the entrance, I noticed that the front door was wide open. Panic set in, and I knew I needed to leave immediately. I grabbed my phone and called the police, who arrived shortly after. They informed me that my house had been broken into, and advised me to stay somewhere else for the night.",No Distortion
,"I'm sorry if my grammar isn't perfect, but here are three sentences without any cognitive distortions:

1. My current financial situation is quite challenging due to unexpected medical bills and loss of income. However, I remain hopeful that things will improve soon.
2. Despite facing numerous obstacles, I continue to work hard towards achieving my goals and aspirations.
3. While it may seem like everything is falling apart, I choose to focus on the positive aspects of my life and believe that better days are ahead.",No Distortion
,"My life has always been filled with chaos and confusion. My parents were both alcoholics and they fought constantly. They divorced when I was five and I lived with my dad until I was ten. Then I moved in with my mom who continued her drinking habits. She eventually died when I was sixteen due to liver failure. Since then, I’ve struggled to find stability and peace in my life.",No Distortion
,"Firstly, I’m always tired even after sleeping 8 hours. Secondly, I often wake up during the night and sometimes I can’t fall asleep again. Thirdly, I’m really anxious about everything, school, family, relationships, future. Fourthly, I’m really sensitive to criticism and I take every word personally. Fifthly, I’m scared of making mistakes and I try to avoid any situation where I could make one. Lastly, I’m really indecisive and I need time to decide anything. Is all of this normal or should I talk to someone about it?",No Distortion
,"I'm 30 years old and I live in New York City. I work at a law firm downtown and make good money. I love my job because I get to help people every day. In my free time, I enjoy going out to eat with friends or watching movies.",No Distortion
,"My husband and I have been married for five years now, and we don't seem to argue anymore. We used to fight all the time when we first got together, but over time, we've learned to communicate better and avoid conflicts. However, sometimes I feel like something is missing between us. Our love life has dwindled down to once every two weeks, if that. I know that having children changes things, but I miss the passion and excitement that we had before. What can I do to rekindle the flame in our marriage?",No Distortion
,"From Australia: I think I might have ADHD. I find it hard to focus on one thing for more than five minutes, especially if it’s something boring or repetitive. I often forget things people say to me, even if it’s important information. I tend to lose track of where I put things, and sometimes I struggle to start tasks because I don’t know where to begin.",No Distortion
,"From Australia: Hi! So I recently moved to Sydney from Melbourne due to work reasons. I love the city and everything about it, except for the fact that I miss my family and close friends terribly. I try to keep in touch via phone calls and messages, but it's just not the same as seeing their faces and feeling their presence. I'm trying to make new friends here, but it's hard to connect with people who are always busy with work or other commitments. Sometimes I wonder if I made the right decision moving here, but deep down I know that I need to push myself to meet new people and explore new opportunities. Any advice?",No Distortion
,"I've been feeling really down lately. It feels like everything is going wrong all the time. My friends tell me to cheer up, but nothing seems to work. I just want things to get better soon.",No Distortion
,"My life was going great before this happened. I had a good job, a loving family, and a wonderful girlfriend. But then one day, something terrible occurred: I lost my job due to circumstances beyond my control. Now, I feel like my entire world has crumbled. My self-esteem plummeted, and I can barely get myself out of bed each morning. It's hard to find motivation to continue living, especially since I don't know how long I will be unemployed.",No Distortion
,"I’m sorry if this sounds weird, but I feel like I might be autistic. It could also be ADHD, but I can’t tell which one it is. I’ve always felt different from everyone else, especially socially. I never understood social cues, and I often get overwhelmed by sensory input. I also struggle with executive functioning tasks such as organizing myself and keeping track of things. I’ve tried researching online, but everything seems to overlap, making it hard to figure out exactly what’s going on.",No Distortion
